GoodCustomer (label),Sex,Age,Credit,LoanDuration
1.0,0.0,27,3643,15
0.0,1.0,28,4249,30
0.0,1.0,32,1938,24
1.0,1.0,34,2910,24
1.0,1.0,28,2659,18
1.0,0.0,36,1028,18
1.0,1.0,39,3398,8
1.0,1.0,49,5801,12
1.0,0.0,34,1525,24
1.0,1.0,31,4473,36
1.0,1.0,28,1068,6
1.0,1.0,75,6615,24
0.0,0.0,30,1864,18
0.0,0.0,24,7408,60
0.0,0.0,24,11590,48
0.0,1.0,23,4110,24
0.0,1.0,44,3384,6
1.0,0.0,23,2101,13
0.0,0.0,24,1275,15
1.0,1.0,28,4169,24
1.0,1.0,31,1521,10
1.0,0.0,24,5743,24
1.0,0.0,26,3599,21
1.0,1.0,25,3213,18
1.0,1.0,33,4439,18
1.0,1.0,37,3949,10
1.0,0.0,43,1459,15
1.0,1.0,23,882,13
1.0,0.0,23,3758,24
1.0,1.0,34,1743,6
0.0,1.0,32,1136,9
1.0,0.0,23,1236,9
0.0,0.0,29,959,9
1.0,1.0,38,3229,18
0.0,1.0,28,6199,12
1.0,1.0,46,727,10
0.0,1.0,23,1246,24
1.0,1.0,49,2331,12
0.0,1.0,26,4463,36
1.0,1.0,28,776,12
0.0,0.0,23,2406,30
1.0,1.0,61,1239,18
1.0,1.0,37,3399,12
1.0,0.0,36,2247,12
1.0,1.0,21,1766,6
0.0,1.0,25,2473,18
1.0,1.0,36,1542,12
1.0,1.0,27,3850,18
1.0,0.0,22,3650,18
0.0,1.0,42,3446,36
1.0,0.0,40,3001,18
1.0,1.0,36,3079,36
1.0,1.0,33,6070,18
1.0,0.0,23,2146,10
1.0,1.0,63,13756,60
0.0,0.0,60,14782,60
0.0,0.0,37,7685,48
1.0,1.0,34,2320,18
1.0,1.0,36,846,7
0.0,1.0,57,14318,36
1.0,0.0,52,362,6
1.0,1.0,39,2212,20
0.0,0.0,38,12976,18
1.0,0.0,25,1283,22
1.0,1.0,26,1330,12
1.0,1.0,26,4272,30
1.0,0.0,25,2238,18
1.0,0.0,21,1126,18
1.0,1.0,40,7374,18
1.0,1.0,27,2326,15
1.0,0.0,27,1449,9
1.0,1.0,30,1820,18
1.0,0.0,19,983,12
1.0,1.0,39,3249,36
1.0,0.0,31,1957,6
1.0,1.0,31,2406,9
1.0,1.0,32,11760,39
1.0,0.0,55,2578,12
1.0,1.0,46,2348,36
0.0,1.0,46,1223,12
1.0,0.0,43,1516,24
1.0,1.0,39,1473,18
1.0,1.0,28,1887,18
0.0,1.0,27,8648,24
1.0,1.0,27,802,14
1.0,1.0,43,2899,18
0.0,1.0,22,2039,24
1.0,1.0,43,2197,24
1.0,1.0,27,1053,15
1.0,1.0,26,3235,24
0.0,1.0,28,939,12
1.0,0.0,20,1967,24
1.0,1.0,35,7253,33
0.0,1.0,42,2292,12
1.0,1.0,40,1597,10
0.0,0.0,35,1381,24
1.0,1.0,35,5842,36
0.0,1.0,33,2579,12
1.0,0.0,23,8471,18
1.0,0.0,31,2782,21
0.0,0.0,33,1042,18
1.0,0.0,20,3186,15
1.0,1.0,30,2028,12
1.0,1.0,47,958,12
1.0,1.0,34,1591,21
0.0,0.0,25,2762,12
1.0,1.0,21,2779,18
1.0,1.0,29,2743,28
1.0,1.0,46,1149,18
1.0,1.0,20,1313,9
0.0,0.0,55,1190,18
1.0,1.0,74,3448,5
0.0,1.0,29,11328,24
1.0,1.0,36,1872,6
1.0,1.0,33,2058,24
1.0,1.0,25,2136,9
0.0,1.0,25,1484,12
1.0,1.0,23,660,6
1.0,0.0,37,1287,24
1.0,1.0,65,3394,42
0.0,0.0,26,609,12
1.0,1.0,39,1884,12
1.0,0.0,30,1620,12
1.0,1.0,29,2629,20
0.0,1.0,41,719,12
0.0,0.0,30,5096,48
1.0,0.0,41,1244,9
0.0,0.0,34,1842,36
1.0,1.0,35,2576,7
1.0,0.0,55,1424,12
0.0,1.0,61,1512,15
1.0,1.0,30,11054,36
1.0,0.0,29,518,6
1.0,1.0,34,2759,12
1.0,1.0,35,2670,24
0.0,1.0,31,4817,24
1.0,0.0,29,2679,24
1.0,1.0,36,3905,11
0.0,1.0,35,3386,12
1.0,0.0,27,343,6
1.0,1.0,32,4594,18
1.0,1.0,37,3620,36
1.0,1.0,36,1721,15
1.0,0.0,34,3017,12
1.0,1.0,38,754,12
1.0,1.0,34,1950,18
1.0,1.0,63,2924,24
0.0,0.0,29,1659,24
1.0,1.0,32,7238,48
1.0,0.0,26,2764,33
1.0,1.0,35,4679,24
0.0,1.0,22,3092,24
0.0,0.0,23,448,6
0.0,1.0,28,654,9
1.0,1.0,36,1238,6
0.0,1.0,33,1245,18
0.0,0.0,26,3114,18
1.0,1.0,24,2569,39
1.0,1.0,25,5152,24
1.0,1.0,39,1037,12
1.0,1.0,44,1478,15
1.0,0.0,23,3573,12
1.0,1.0,26,1201,24
1.0,0.0,57,3622,30
1.0,0.0,30,960,15
1.0,1.0,44,1163,12
0.0,1.0,47,1209,6
1.0,1.0,52,3077,12
1.0,0.0,62,3757,24
1.0,1.0,35,1418,10
1.0,1.0,26,3518,6
1.0,1.0,26,1934,12
0.0,0.0,42,8318,27
1.0,0.0,27,1237,6
1.0,1.0,38,368,6
1.0,1.0,39,2122,12
0.0,1.0,20,2996,24
0.0,1.0,29,9034,36
1.0,1.0,40,1585,24
1.0,1.0,32,1301,18
1.0,1.0,28,1323,6
0.0,0.0,27,3123,24
1.0,1.0,42,5493,36
1.0,1.0,49,1126,9
0.0,1.0,38,1216,24
0.0,0.0,24,1207,24
0.0,1.0,27,1309,10
1.0,1.0,36,2360,15
0.0,1.0,34,6850,15
1.0,1.0,28,1413,24
1.0,1.0,45,8588,39
0.0,1.0,26,759,12
1.0,1.0,32,4686,36
1.0,1.0,26,2687,15
1.0,1.0,20,585,12
1.0,1.0,54,2255,24
1.0,0.0,37,609,6
1.0,1.0,40,1361,6
0.0,0.0,23,7127,36
1.0,1.0,43,1203,6
1.0,1.0,36,700,6
1.0,1.0,44,5507,24
0.0,0.0,24,3190,18
0.0,1.0,53,7119,48
1.0,0.0,23,3488,24
1.0,0.0,26,1113,18
1.0,1.0,30,7966,26
1.0,0.0,31,1532,15
1.0,1.0,42,1503,4
0.0,1.0,31,2302,36
1.0,1.0,41,662,6
1.0,1.0,32,2273,36
0.0,0.0,28,2631,15
1.0,1.0,41,1503,12
1.0,1.0,26,1311,24
1.0,1.0,25,3105,24
0.0,1.0,33,2319,21
1.0,0.0,75,1374,6
1.0,0.0,37,3612,18
0.0,1.0,42,7763,48
1.0,0.0,45,3049,18
0.0,1.0,23,1534,12
1.0,1.0,60,2032,24
0.0,1.0,31,6350,30
0.0,1.0,34,2864,18
1.0,1.0,61,1255,12
0.0,1.0,43,1333,24
1.0,0.0,37,2022,24
1.0,1.0,32,1552,24
0.0,0.0,24,626,12
1.0,1.0,35,8858,48
1.0,0.0,23,996,12
1.0,1.0,45,1750,6
0.0,1.0,34,6999,48
1.0,1.0,27,1995,12
1.0,0.0,67,1199,9
0.0,1.0,22,1331,12
0.0,0.0,28,2278,18
0.0,0.0,29,5003,21
0.0,1.0,27,3552,24
0.0,1.0,31,1928,18
1.0,1.0,49,2964,24
0.0,1.0,24,1546,24
1.0,0.0,29,683,6
0.0,1.0,37,12389,36
1.0,1.0,37,4712,24
1.0,0.0,23,1553,24
0.0,1.0,36,1372,12
1.0,1.0,34,2578,24
1.0,1.0,41,3979,48
0.0,0.0,31,6758,48
0.0,0.0,23,3234,24
1.0,1.0,38,5954,30
1.0,0.0,26,5433,24
1.0,0.0,22,806,15
1.0,1.0,27,1082,9
1.0,0.0,24,2788,15
1.0,0.0,27,2930,12
1.0,0.0,33,1927,24
0.0,1.0,27,2820,36
1.0,1.0,27,937,24
0.0,1.0,30,1056,18
1.0,1.0,49,3124,12
1.0,0.0,26,1388,9
0.0,1.0,33,2384,36
1.0,0.0,52,2133,12
0.0,0.0,20,2039,18
1.0,1.0,36,2799,9
1.0,1.0,21,1289,12
0.0,1.0,47,1217,18
0.0,1.0,60,2246,12
1.0,0.0,58,385,12
1.0,0.0,42,1965,24
1.0,0.0,36,1572,21
0.0,0.0,20,2718,24
0.0,1.0,40,1358,24
0.0,0.0,32,931,6
0.0,0.0,23,1442,24
0.0,1.0,36,4241,24
0.0,1.0,31,2775,18
1.0,1.0,32,3863,24
1.0,0.0,45,2329,7
0.0,0.0,30,918,9
0.0,0.0,34,1837,24
0.0,0.0,28,3349,36
1.0,0.0,23,1275,10
1.0,1.0,22,2828,24
1.0,1.0,74,4526,24
0.0,0.0,50,2671,36
1.0,1.0,33,2051,18
1.0,1.0,45,1300,15
0.0,0.0,22,741,12
0.0,0.0,48,1240,10
1.0,0.0,29,3357,21
1.0,0.0,22,3632,24
0.0,0.0,22,1808,18
1.0,1.0,48,12204,48
1.0,1.0,27,9157,60
1.0,1.0,37,3676,6
0.0,0.0,21,3441,30
1.0,1.0,49,640,12
1.0,1.0,27,3652,21
0.0,1.0,32,1530,18
0.0,1.0,38,3914,48
1.0,0.0,22,1858,12
0.0,1.0,65,2600,18
1.0,1.0,35,1979,15
1.0,1.0,41,2116,6
0.0,1.0,29,1437,9
1.0,1.0,36,4042,42
1.0,1.0,64,3832,9
1.0,0.0,28,3660,24
0.0,1.0,44,1553,18
1.0,1.0,23,1444,15
0.0,0.0,19,1980,9
0.0,0.0,25,1355,24
1.0,1.0,47,1393,12
1.0,0.0,28,1376,24
1.0,1.0,21,15653,60
1.0,0.0,34,1493,12
0.0,1.0,26,4370,42
0.0,0.0,27,750,18
1.0,1.0,38,1308,15
0.0,1.0,40,4623,15
1.0,1.0,33,1851,24
1.0,1.0,32,1880,18
0.0,1.0,27,7980,36
1.0,1.0,32,4583,30
0.0,0.0,26,1386,12
0.0,1.0,38,947,24
0.0,1.0,40,684,12
1.0,1.0,50,7476,48
0.0,1.0,37,1922,12
0.0,1.0,45,2303,24
0.0,1.0,42,8086,36
1.0,1.0,35,2346,24
1.0,1.0,22,3973,14
0.0,1.0,41,888,12
1.0,1.0,37,10222,48
1.0,0.0,28,4221,30
1.0,1.0,41,6361,18
1.0,1.0,23,1297,12
0.0,1.0,23,900,12
1.0,1.0,50,2241,21
1.0,1.0,35,1050,6
1.0,0.0,50,1047,6
1.0,1.0,27,6314,24
1.0,1.0,34,3496,30
1.0,0.0,27,3609,48
0.0,1.0,43,4843,12
1.0,1.0,47,3017,30
1.0,1.0,27,4139,24
1.0,1.0,31,5742,36
1.0,1.0,42,10366,60
1.0,1.0,24,2080,6
0.0,1.0,41,2580,21
1.0,0.0,26,4530,30
1.0,1.0,33,5150,24
0.0,1.0,24,5595,72
1.0,1.0,64,2384,24
1.0,0.0,26,1453,18
1.0,0.0,56,1538,6
1.0,1.0,37,2279,12
1.0,1.0,33,1478,15
1.0,1.0,47,5103,24
1.0,1.0,31,9857,36
1.0,1.0,34,6527,60
1.0,1.0,27,1347,10
1.0,1.0,30,2862,36
1.0,1.0,35,2753,9
1.0,1.0,31,3651,12
1.0,1.0,25,975,15
1.0,0.0,25,2631,15
1.0,1.0,29,2896,24
1.0,1.0,44,4716,6
1.0,1.0,28,2284,24
1.0,1.0,50,1236,6
1.0,1.0,29,1103,12
1.0,0.0,38,926,12
1.0,1.0,24,1800,18
1.0,1.0,40,1905,15
0.0,0.0,29,1123,12
0.0,1.0,46,6331,48
1.0,0.0,47,1377,24
1.0,1.0,41,2503,30
1.0,0.0,32,2528,27
1.0,0.0,35,5324,15
0.0,1.0,24,6560,48
0.0,0.0,25,2969,12
1.0,0.0,25,1206,9
1.0,1.0,37,2118,9
1.0,1.0,32,629,18
0.0,0.0,35,1198,6
1.0,1.0,46,2476,21
1.0,1.0,25,1138,9
0.0,1.0,27,14027,60
1.0,1.0,63,7596,30
1.0,1.0,40,3077,30
1.0,1.0,32,1505,18
1.0,1.0,31,3148,24
1.0,1.0,31,6148,20
0.0,1.0,34,1337,9
0.0,0.0,24,433,6
0.0,0.0,24,1228,12
1.0,0.0,66,790,9
0.0,0.0,21,2570,27
1.0,0.0,41,250,6
1.0,1.0,47,1316,15
0.0,0.0,25,1882,18
0.0,0.0,59,6416,48
1.0,1.0,36,1275,24
1.0,1.0,33,6403,24
0.0,1.0,21,1987,24
1.0,0.0,44,760,8
1.0,0.0,28,2603,24
1.0,0.0,37,3380,4
1.0,0.0,29,3990,36
0.0,0.0,23,11560,24
1.0,1.0,35,4380,18
1.0,1.0,45,6761,6
0.0,0.0,26,4280,30
1.0,1.0,32,2325,24
1.0,1.0,23,1048,10
1.0,1.0,41,3160,21
1.0,1.0,22,2483,24
1.0,1.0,30,14179,39
1.0,1.0,28,1797,13
1.0,0.0,23,2511,15
0.0,0.0,37,1274,12
1.0,1.0,26,5248,21
1.0,1.0,33,3029,15
1.0,0.0,49,428,6
0.0,0.0,23,976,18
1.0,0.0,23,841,12
1.0,0.0,25,5771,30
0.0,1.0,55,1555,12
0.0,0.0,32,1285,24
1.0,1.0,74,1299,6
0.0,1.0,39,1271,15
1.0,1.0,31,1393,24
0.0,1.0,35,691,12
1.0,0.0,59,5045,15
0.0,0.0,24,2124,18
1.0,1.0,24,2214,12
0.0,1.0,30,12680,21
1.0,1.0,27,2463,24
1.0,1.0,40,1155,12
0.0,1.0,31,3108,30
1.0,0.0,31,2901,10
1.0,1.0,28,3617,12
1.0,1.0,63,1655,12
1.0,0.0,26,2812,24
0.0,0.0,25,8065,36
1.0,1.0,36,3275,21
1.0,1.0,52,2223,24
1.0,1.0,66,1480,12
0.0,0.0,25,1371,24
1.0,1.0,37,3535,36
1.0,0.0,25,3509,18
1.0,1.0,38,5711,36
1.0,0.0,67,3872,18
0.0,1.0,25,4933,39
1.0,1.0,60,1940,24
1.0,1.0,31,1410,12
0.0,0.0,23,836,12
1.0,1.0,60,6468,20
1.0,1.0,35,1941,18
1.0,1.0,40,2675,22
1.0,1.0,38,2751,48
0.0,1.0,50,6224,48
0.0,1.0,27,5998,40
0.0,0.0,39,1188,21
1.0,1.0,41,6313,24
1.0,1.0,27,1221,6
1.0,1.0,51,2892,24
1.0,1.0,32,3062,24
1.0,0.0,22,2301,9
0.0,1.0,51,7511,18
1.0,0.0,22,1258,12
1.0,1.0,54,717,24
1.0,1.0,35,1549,9
1.0,1.0,54,1597,24
1.0,0.0,48,1795,18
1.0,0.0,24,4272,20
1.0,1.0,35,976,12
1.0,0.0,24,7472,12
0.0,1.0,24,9271,36
1.0,1.0,26,590,6
1.0,1.0,65,930,12
1.0,1.0,55,9283,42
0.0,0.0,26,1778,15
1.0,1.0,26,907,8
1.0,1.0,28,484,6
0.0,1.0,24,9629,36
0.0,1.0,54,3051,48
0.0,1.0,46,3931,48
1.0,0.0,54,7432,36
1.0,1.0,62,1338,6
1.0,0.0,24,1554,6
1.0,1.0,43,15857,36
0.0,1.0,26,1345,18
1.0,1.0,27,1101,12
1.0,1.0,24,3016,12
0.0,1.0,41,2712,36
1.0,1.0,47,731,8
1.0,1.0,35,3780,18
1.0,1.0,30,1602,21
0.0,0.0,33,3966,18
0.0,1.0,36,4165,18
0.0,1.0,47,8335,36
1.0,1.0,38,6681,48
1.0,1.0,44,2375,24
0.0,0.0,23,1216,18
0.0,1.0,29,11816,45
1.0,0.0,42,5084,24
0.0,0.0,25,2327,15
0.0,1.0,48,1082,12
1.0,0.0,21,886,12
1.0,0.0,23,601,4
1.0,1.0,63,2957,24
1.0,1.0,46,2611,24
0.0,1.0,29,5179,36
1.0,1.0,28,2993,21
0.0,0.0,23,1943,18
1.0,1.0,50,1559,24
1.0,1.0,47,3422,18
1.0,1.0,35,3976,21
0.0,1.0,68,6761,18
1.0,1.0,28,1249,24
1.0,1.0,59,1364,9
0.0,1.0,57,709,12
0.0,1.0,33,2235,20
1.0,1.0,43,4042,24
1.0,1.0,35,1471,15
0.0,1.0,32,1442,18
1.0,1.0,45,10875,36
1.0,1.0,33,1474,24
1.0,0.0,40,894,10
1.0,1.0,28,3343,15
0.0,0.0,29,3959,15
1.0,1.0,26,3577,9
1.0,1.0,27,5804,24
0.0,1.0,28,2169,18
0.0,0.0,35,2439,24
1.0,1.0,32,4526,27
0.0,1.0,25,2210,10
1.0,0.0,20,2221,15
1.0,0.0,27,2389,18
1.0,1.0,42,3331,12
1.0,1.0,37,7409,36
1.0,0.0,24,652,12
1.0,0.0,40,7678,36
1.0,1.0,46,1343,6
1.0,1.0,26,1382,24
1.0,0.0,24,874,15
1.0,1.0,29,3590,12
1.0,0.0,40,1322,11
1.0,1.0,36,1940,18
1.0,1.0,28,3595,36
0.0,1.0,27,1422,9
1.0,1.0,36,6742,30
1.0,1.0,38,7814,24
1.0,1.0,48,9277,24
1.0,1.0,36,2181,30
1.0,0.0,65,1098,18
0.0,1.0,43,4057,24
0.0,0.0,53,795,12
1.0,1.0,34,2825,24
0.0,1.0,23,15672,48
1.0,1.0,34,6614,36
1.0,1.0,40,7824,28
1.0,1.0,43,2442,27
1.0,1.0,46,1829,15
1.0,1.0,38,2171,12
1.0,1.0,34,5800,36
1.0,1.0,29,1169,18
1.0,1.0,31,8947,36
1.0,0.0,28,2606,21
1.0,0.0,35,1592,12
1.0,0.0,33,2186,15
0.0,1.0,42,4153,18
0.0,1.0,43,2625,16
1.0,1.0,44,3485,20
1.0,1.0,42,10477,36
1.0,1.0,40,1386,15
1.0,1.0,36,1278,24
1.0,1.0,20,1107,12
1.0,1.0,24,3763,21
1.0,1.0,27,3711,36
1.0,0.0,46,3594,15
1.0,0.0,33,3195,9
1.0,0.0,34,4454,36
0.0,0.0,25,4736,24
1.0,0.0,25,2991,30
1.0,1.0,28,2142,11
0.0,1.0,31,3161,24
0.0,0.0,32,18424,48
1.0,1.0,32,2848,10
0.0,1.0,68,14896,6
0.0,1.0,33,2359,24
0.0,1.0,39,3345,24
1.0,0.0,28,1817,18
1.0,1.0,37,12749,48
0.0,0.0,22,1366,9
1.0,1.0,30,2002,12
0.0,1.0,55,6872,24
0.0,1.0,46,697,12
1.0,0.0,21,1049,18
0.0,1.0,39,10297,48
1.0,1.0,58,1867,30
1.0,1.0,43,1344,12
1.0,1.0,24,1747,24
0.0,0.0,22,1670,9
1.0,1.0,30,1224,9
1.0,1.0,42,522,12
1.0,0.0,23,1498,12
0.0,1.0,30,1919,30
0.0,0.0,28,745,9
